"ss_presented","inhibited","SSD","rt"
0,-999,-999,427.154377534845
0,-999,-999,642.980822700319
0,-999,-999,403.410777013273
0,-999,-999,306.500168262747
0,-999,-999,488.468809997596
0,-999,-999,417.792604886904
0,-999,-999,352.952364989123
0,-999,-999,325.507992593024
0,-999,-999,432.789659093356
0,-999,-999,473.81602094005
0,-999,-999,341.839874740027
0,-999,-999,516.428460945275
0,-999,-999,377.016200959551
0,-999,-999,270.313443885584
0,-999,-999,390.01876765995
0,-999,-999,458.467195733671
0,-999,-999,449.158648566396
0,-999,-999,466.585472856264
0,-999,-999,540.262185273019
0,-999,-999,281.338653881941
0,-999,-999,550.056916128045
0,-999,-999,476.694146362355
0,-999,-999,430.686842538493
0,-999,-999,409.519897676406
0,-999,-999,429.028877327502
0,-999,-999,434.596684518338
0,-999,-999,386.476860286801
0,-999,-999,486.851340463702
0,-999,-999,463.555634481794
0,-999,-999,442.979350179861
0,-999,-999,519.792893104318
0,-999,-999,393.227948616388
0,-999,-999,484.30061447791
0,-999,-999,405.251761996954
0,-999,-999,343.771704453169
0,-999,-999,483.430765306916
0,-999,-999,420.427662852794
0,-999,-999,588.293252965442
0,-999,-999,382.26605018994
0,-999,-999,413.202063849137
0,-999,-999,360.386074833172
0,-999,-999,482.091574793142
0,-999,-999,312.30195575919
0,-999,-999,291.83339529423
0,-999,-999,435.410024780242
0,-999,-999,408.469607026142
0,-999,-999,334.736748183125
0,-999,-999,466.419001697396
0,-999,-999,452.999078319924
0,-999,-999,312.317835833696
0,-999,-999,330.223519621694
0,-999,-999,514.432926747363
0,-999,-999,454.303556331424
0,-999,-999,391.842011640227
0,-999,-999,375.382641593976
0,-999,-999,398.735866742956
0,-999,-999,436.108826247847
0,-999,-999,362.612097061487
0,-999,-999,251.065471783948
0,-999,-999,522.646106454882
0,-999,-999,333.721322291473
0,-999,-999,507.381067919657
0,-999,-999,400.338349841273
0,-999,-999,515.633274254435
0,-999,-999,660.060257709282
0,-999,-999,417.779646462581
0,-999,-999,353.056557884134
0,-999,-999,460.242637794009
0,-999,-999,445.96827091459
0,-999,-999,484.65682524008
0,-999,-999,293.891002633011
0,-999,-999,364.524147583008
0,-999,-999,497.801541474161
0,-999,-999,331.510095500386
0,-999,-999,386.143647246477
0,-999,-999,468.391707453592
0,-999,-999,363.519011913235
0,-999,-999,379.905343199665
0,-999,-999,312.888917226189
0,-999,-999,437.692260045889
0,-999,-999,306.951478268965
0,-999,-999,374.555965398954
0,-999,-999,300.740815822408
0,-999,-999,391.575235927289
0,-999,-999,457.698006366566
0,-999,-999,320.380273486508
0,-999,-999,338.664760771373
0,-999,-999,514.324656825179
0,-999,-999,382.446190284302
0,-999,-999,392.381570455136
0,-999,-999,455.388190435587
0,-999,-999,347.760157101729
0,-999,-999,341.791920765488
0,-999,-999,380.697593956887
0,-999,-999,458.013830383582
0,-999,-999,471.245625299235
0,-999,-999,372.35415793227
0,-999,-999,498.960369370956
0,-999,-999,493.765822683788
0,-999,-999,223.866385340624
